neutral_id,status,reason,molecular_weight_g_mol,cation_id,anion_id
libe-117657,rejected,missing_cation_match,104.06099999999999,,
libe-120306,accepted,,104.06099999999999,libe-120241,libe-120843
libe-176932,rejected,missing_anion_match,104.06099999999999,libe-177438,
libe-518891,rejected,not_closed_shell,,,
libe-516458,rejected,disallowed_element,,,
libe-521119,rejected,disallowed_element,,,
libe-524396,rejected,disallowed_element,,,
libe-524610,rejected,disallowed_element,,,
libe-524907,rejected,disallowed_element,,,
libe-528358,rejected,disallowed_element,,,
libe-140786,rejected,disallowed_element,,,
libe-140989,rejected,disallowed_element,,,
libe-141002,rejected,disallowed_element,,,
libe-120645,rejected,not_closed_shell,,,
libe-120656,rejected,not_closed_shell,,,
libe-132290,rejected,not_closed_shell,,,
libe-526166,rejected,not_closed_shell,,,
libe-515152,rejected,not_closed_shell,,,
libe-516305,rejected,not_closed_shell,,,
libe-520079,rejected,not_closed_shell,,,
libe-520873,rejected,not_closed_shell,,,
libe-522690,rejected,not_closed_shell,,,
libe-524547,rejected,not_closed_shell,,,
libe-524599,rejected,not_closed_shell,,,
libe-526152,rejected,not_closed_shell,,,
libe-527822,rejected,not_closed_shell,,,
libe-529043,rejected,not_closed_shell,,,
libe-529197,rejected,not_closed_shell,,,
libe-535052,rejected,not_closed_shell,,,
libe-542402,rejected,not_closed_shell,,,
libe-118935,rejected,not_closed_shell,,,
libe-118940,rejected,not_closed_shell,,,
libe-118943,rejected,not_closed_shell,,,
libe-118979,rejected,not_closed_shell,,,
libe-118981,rejected,not_closed_shell,,,
libe-118994,rejected,not_closed_shell,,,
libe-118998,rejected,not_closed_shell,,,
libe-176763,rejected,not_closed_shell,,,
libe-177138,rejected,not_closed_shell,,,
libe-181741,rejected,not_closed_shell,,,
libe-181863,rejected,not_closed_shell,,,
libe-181883,rejected,not_closed_shell,,,
libe-182037,rejected,not_closed_shell,,,
libe-182189,rejected,not_closed_shell,,,
libe-182222,rejected,not_closed_shell,,,
libe-182426,rejected,not_closed_shell,,,
libe-182613,rejected,not_closed_shell,,,
libe-631468,rejected,not_closed_shell,,,
libe-631788,rejected,not_closed_shell,,,
libe-116109,rejected,disallowed_element,,,
libe-116114,rejected,disallowed_element,,,
libe-224569,rejected,not_closed_shell,,,
libe-224577,rejected,not_closed_shell,,,
libe-209556,rejected,disallowed_element,,,
libe-640708,rejected,not_closed_shell,,,
libe-141062,rejected,disallowed_element,,,
libe-141183,rejected,disallowed_element,,,
libe-141192,rejected,disallowed_element,,,
libe-141201,rejected,disallowed_element,,,
libe-141273,rejected,disallowed_element,,,
libe-141329,rejected,disallowed_element,,,
libe-141352,rejected,disallowed_element,,,
libe-141366,rejected,disallowed_element,,,
libe-141412,rejected,disallowed_element,,,
libe-141548,rejected,disallowed_element,,,
libe-141576,rejected,disallowed_element,,,
libe-141616,rejected,disallowed_element,,,
libe-393315,rejected,disallowed_element,,,
libe-393536,rejected,disallowed_element,,,
libe-424574,rejected,disallowed_element,,,
libe-141351,rejected,disallowed_element,,,
libe-401506,rejected,disallowed_element,,,
libe-120760,rejected,disallowed_element,,,
libe-120762,rejected,disallowed_element,,,
libe-120812,rejected,disallowed_element,,,
libe-120817,rejected,disallowed_element,,,
libe-180437,rejected,disallowed_element,,,
libe-637974,rejected,disallowed_element,,,
libe-641655,rejected,not_closed_shell,,,
libe-136949,rejected,disallowed_element,,,
libe-136961,rejected,disallowed_element,,,
libe-636061,rejected,disallowed_element,,,
libe-176208,rejected,disallowed_element,,,
libe-636056,rejected,disallowed_element,,,
libe-642014,rejected,not_closed_shell,,,
libe-642053,rejected,not_closed_shell,,,
libe-642073,rejected,not_closed_shell,,,
libe-642080,rejected,not_closed_shell,,,
libe-642146,rejected,not_closed_shell,,,
libe-135944,rejected,disallowed_element,,,
libe-137439,rejected,disallowed_element,,,
libe-137443,rejected,disallowed_element,,,
libe-137543,rejected,disallowed_element,,,
libe-137546,rejected,disallowed_element,,,
libe-208508,rejected,disallowed_element,,,
libe-208580,rejected,disallowed_element,,,
libe-208829,rejected,disallowed_element,,,
libe-208837,rejected,disallowed_element,,,
libe-225738,rejected,not_closed_shell,,,
